position,code,media,bucket,school
431,DJ9437059,9.22,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""TERRAVEDA"" CRAIOVA"
432,DJ9564695,9.22,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""MIRCEA ELIADE"" CRAIOVA"
433,DJ9447352,9.22,CRAIOVA,"COLEGIUL NAȚIONAL ""ELENA CUZA"" CRAIOVA"
434,DJ9176371,9.20,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""MIRCEA ELIADE"" CRAIOVA"
435,DJ363851,9.20,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""GHEORGHE ȚIȚEICA"" CRAIOVA"
436,DJ9446695,9.20,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""SF. DUMITRU"" CRAIOVA"
437,DJ8760005,9.20,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""TRAIAN"" CRAIOVA"
438,DJ12083800,9.20,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""TRAIAN"" CRAIOVA"
439,DJ9447878,9.20,CRAIOVA,"COLEGIUL NAȚIONAL ""ELENA CUZA"" CRAIOVA"
440,DJ269251,9.20,CRAIOVA,"COLEGIUL NAȚIONAL ""ELENA CUZA"" CRAIOVA"
441,DJ9446942,9.20,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""SF. GHEORGHE"" CRAIOVA"
442,DJ283001,9.20,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""SF. GHEORGHE"" CRAIOVA"
443,DJ8440989,9.20,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""ELENA FARAGO"" CRAIOVA"
444,DJ8892492,9.20,FAR_TOWN,"LICEUL TEORETIC AMĂRĂȘTII DE JOS"
445,DJ9449427,9.20,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""ELENA FARAGO"" CRAIOVA"
446,DJ8946653,9.20,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""TRAIAN"" CRAIOVA"
447,DJ7896658,9.20,CRAIOVA,"COLEGIUL NAȚIONAL ""FRAȚII BUZEȘTI"" CRAIOVA"
448,DJ9493495,9.20,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""TRAIAN"" CRAIOVA"
449,DJ237101,9.20,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""MIRCEA ELIADE"" CRAIOVA"
450,DJ8559612,9.20,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""MIHAI VITEAZUL"" CRAIOVA"
451,DJ9343087,9.20,CRAIOVA,"COLEGIUL NAȚIONAL ""CAROL I"" CRAIOVA"
452,DJ9473122,9.20,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""TRAIAN"" CRAIOVA"
453,DJ9037461,9.20,NEAR_CRAIOVA,"ȘCOALA GIMNAZIALĂ ȚUGLUI"
454,DJ9088380,9.17,CRAIOVA,"COLEGIUL NAȚIONAL ""FRAȚII BUZEȘTI"" CRAIOVA"
455,DJ8787098,9.17,CRAIOVA,"COLEGIUL NAȚIONAL ""FRAȚII BUZEȘTI"" CRAIOVA"
456,DJ9202375,9.17,FAR_RURAL,"ȘCOALA GIMNAZIALĂ DRĂGOTEȘTI"
457,DJ8819608,9.17,CRAIOVA,"COLEGIUL NAȚIONAL ""FRAȚII BUZEȘTI"" CRAIOVA"
458,DJ13350776,9.17,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""MIHAI VITEAZUL"" CRAIOVA"
459,DJ8760480,9.17,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""MIRCEA ELIADE"" CRAIOVA"
460,DJ9446841,9.17,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""NICOLAE BĂLCESCU"" CRAIOVA"
461,DJ8847811,9.17,CRAIOVA,"COLEGIUL NAȚIONAL ""CAROL I"" CRAIOVA"
462,DJ9145759,9.17,FAR_TOWN,"LICEUL TEORETIC ""CONSTANTIN BRÂNCOVEANU"" DĂBULENI"
463,DJ275101,9.17,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""TRAIAN"" CRAIOVA"
464,DJ9706631,9.17,FAR_TOWN,"ȘCOALA GIMNAZIALĂ FILIAȘI"
465,DJ9446113,9.17,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""MIRCEA ELIADE"" CRAIOVA"
466,DJ8878798,9.17,CRAIOVA,"COLEGIUL NAȚIONAL ""FRAȚII BUZEȘTI"" CRAIOVA"
467,DJ9210660,9.17,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""GHEORGHE ȚIȚEICA"" CRAIOVA"
468,DJ9436256,9.17,FAR_RURAL,"ȘCOALA PROFESIONALĂ DANEȚI"
469,DJ9477939,9.17,CRAIOVA,"COLEGIUL NAȚIONAL ""FRAȚII BUZEȘTI"" CRAIOVA"
470,DJ276051,9.17,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""TRAIAN"" CRAIOVA"
471,DJ9441818,9.17,CRAIOVA,"COLEGIUL NAȚIONAL ""FRAȚII BUZEȘTI"" CRAIOVA"
472,DJ283151,9.17,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""MIRCEA ELIADE"" CRAIOVA"
473,DJ7896535,9.17,CRAIOVA,"COLEGIUL NAȚIONAL ""FRAȚII BUZEȘTI"" CRAIOVA"
474,DJ9090484,9.17,CRAIOVA,"COLEGIUL NAȚIONAL ""ELENA CUZA"" CRAIOVA"
475,DJ8898125,9.17,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""ALEXANDRU MACEDONSKI"" CRAIOVA"
476,DJ12244545,9.15,CRAIOVA_VOCATIONAL,"LICEUL CU PROGRAM SPORTIV ""PETRACHE TRIȘCU"" CRAIOVA"
477,DJ9423571,9.15,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""MIRCEA ELIADE"" CRAIOVA"
478,DJ9243109,9.15,FAR_TOWN,"ȘCOALA GIMNAZIALĂ NR. 1 DĂBULENI"
479,DJ9987160,9.15,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""NICOLAE BĂLCESCU"" CRAIOVA"
480,DJ8784780,9.15,CRAIOVA,"COLEGIUL NAȚIONAL ""ELENA CUZA"" CRAIOVA"
481,DJ8991278,9.15,FAR_TOWN,"ȘCOALA GIMNAZIALĂ NR. 5 ""AV. P. IVANOVICI"" BĂILEȘTI"
482,DJ9442748,9.15,CRAIOVA,"LICEUL TEORETIC ""HENRI COANDĂ"" CRAIOVA"
483,DJ12618325,9.15,CRAIOVA,"COLEGIUL NAȚIONAL PEDAGOGIC ""ȘTEFAN VELOVAN"" CRAIOVA"
484,DJ8782402,9.15,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""MIRCEA ELIADE"" CRAIOVA"
485,DJ9442974,9.15,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""MIHAI VITEAZUL"" CRAIOVA"
486,DJ9004295,9.15,CRAIOVA,"COLEGIUL NAȚIONAL PEDAGOGIC ""ȘTEFAN VELOVAN"" CRAIOVA"
487,DJ11093514,9.15,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""MIRCEA ELIADE"" CRAIOVA"
488,DJ10919758,9.15,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""MIRCEA ELIADE"" CRAIOVA"
489,DJ12618121,9.15,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""TRAIAN"" CRAIOVA"
490,DJ364601,9.15,CRAIOVA,"LICEUL TEOLOGIC ADVENTIST CRAIOVA"
491,DJ8876063,9.15,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""ALEXANDRU MACEDONSKI"" CRAIOVA"
492,DJ8877623,9.15,CRAIOVA,"COLEGIUL NAȚIONAL ""FRAȚII BUZEȘTI"" CRAIOVA"
493,DJ9435791,9.15,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""NICOLAE ROMANESCU"" CRAIOVA"
494,DJ8070846,9.15,FAR_TOWN,"LICEUL TEORETIC ""INDEPENDENȚA"" CALAFAT"
495,DJ9439329,9.15,CRAIOVA,"COLEGIUL NAȚIONAL PEDAGOGIC ""ȘTEFAN VELOVAN"" CRAIOVA"
496,DJ413551,9.15,CRAIOVA,"COLEGIUL NAȚIONAL ""FRAȚII BUZEȘTI"" CRAIOVA"
497,DJ9191449,9.15,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""TRAIAN"" CRAIOVA"
498,DJ522701,9.15,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""GHEORGHE ȚIȚEICA"" CRAIOVA"
499,DJ8899958,9.15,FAR_TOWN,"LICEUL TEORETIC AMĂRĂȘTII DE JOS"
500,DJ9105311,9.15,NEAR_CRAIOVA,"ȘCOALA GIMNAZIALĂ PIELEȘTI"
501,DJ9616097,9.15,FAR_RURAL,"ȘCOALA GIMNAZIALĂ VÂRTOP"
502,DJ12515077,9.15,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""MIHAI EMINESCU"" CRAIOVA"
503,DJ8892816,9.15,CRAIOVA,"LICEUL TEORETIC ""TUDOR ARGHEZI"" CRAIOVA"
504,DJ9094339,9.15,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""NICOLAE ROMANESCU"" CRAIOVA"
505,DJ9439794,9.12,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""MIRCEA ELIADE"" CRAIOVA"
506,DJ12245398,9.12,CRAIOVA,"COLEGIUL NAȚIONAL ""CAROL I"" CRAIOVA"
507,DJ8830164,9.12,CRAIOVA,"COLEGIUL NAȚIONAL ""ELENA CUZA"" CRAIOVA"
508,DJ9092445,9.12,CRAIOVA,"COLEGIUL NAȚIONAL PEDAGOGIC ""ȘTEFAN VELOVAN"" CRAIOVA"
509,DJ9321839,9.12,CRAIOVA,"LICEUL TEORETIC ""HENRI COANDĂ"" CRAIOVA"
510,DJ9447810,9.12,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""TRAIAN"" CRAIOVA"
511,DJ9470418,9.12,FAR_RURAL,"ȘCOALA GIMNAZIALĂ DAMIAN-SADOVA"
512,DJ9493418,9.12,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""MIRCEA ELIADE"" CRAIOVA"
513,DJ8886814,9.12,FAR_TOWN,"LICEUL TEORETIC AMĂRĂȘTII DE JOS"
514,DJ9446971,9.12,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""DECEBAL"" CRAIOVA"
515,DJ8757312,9.12,CRAIOVA,"LICEUL TEORETIC ""TUDOR ARGHEZI"" CRAIOVA"
516,DJ9191948,9.12,CRAIOVA,"LICEUL TEORETIC ""HENRI COANDĂ"" CRAIOVA"
517,DJ9438055,9.12,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""NICOLAE ROMANESCU"" CRAIOVA"
518,DJ11106416,9.12,CRAIOVA,"LICEUL TEORETIC ""TUDOR ARGHEZI"" CRAIOVA"
519,DJ12462523,9.12,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""TRAIAN"" CRAIOVA"
520,DJ8014185,9.12,FAR_TOWN,"LICEUL TEORETIC ""INDEPENDENȚA"" CALAFAT"
521,DJ9569236,9.12,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""MIHAI VITEAZUL"" CRAIOVA"
522,DJ9436667,9.12,CRAIOVA,"ȘCOALA ROMÂNO-BRITANICĂ CRAIOVA"
523,DJ8579815,9.12,FAR_RURAL,"ȘCOALA GIMNAZIALĂ RAST"
524,DJ9447431,9.12,CRAIOVA,"COLEGIUL NAȚIONAL PEDAGOGIC ""ȘTEFAN VELOVAN"" CRAIOVA"
525,DJ10944805,9.12,CRAIOVA,"LICEUL TEORETIC ""TUDOR ARGHEZI"" CRAIOVA"
526,DJ9740824,9.12,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""NICOLAE BĂLCESCU"" CRAIOVA"
527,DJ12329024,9.12,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""NICOLAE ROMANESCU"" CRAIOVA"
528,DJ9532032,9.12,CRAIOVA,"COLEGIUL NAȚIONAL ""FRAȚII BUZEȘTI"" CRAIOVA"
529,DJ275151,9.12,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""MIRCEA ELIADE"" CRAIOVA"
530,DJ9210157,9.12,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""MIRCEA ELIADE"" CRAIOVA"
531,DJ7986691,9.12,NEAR_CRAIOVA,"ȘCOALA GIMNAZIALĂ ȚUGLUI"
532,DJ8950260,9.12,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""MIRCEA ELIADE"" CRAIOVA"
533,DJ9191809,9.12,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""MIHAI VITEAZUL"" CRAIOVA"
534,DJ275251,9.12,CRAIOVA,"COLEGIUL NAȚIONAL ""FRAȚII BUZEȘTI"" CRAIOVA"
535,DJ9450829,9.12,CRAIOVA,"COLEGIUL NAȚIONAL ""CAROL I"" CRAIOVA"
536,DJ9445103,9.10,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""TRAIAN"" CRAIOVA"
537,DJ8039484,9.10,FAR_TOWN,"LICEUL TEORETIC ""INDEPENDENȚA"" CALAFAT"
538,DJ9209538,9.10,CRAIOVA,"COLEGIUL NAȚIONAL ""ELENA CUZA"" CRAIOVA"
539,DJ12619700,9.10,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""NICOLAE ROMANESCU"" CRAIOVA"
540,DJ9344581,9.10,CRAIOVA,"COLEGIUL NAȚIONAL ""NICOLAE TITULESCU"" CRAIOVA"
541,DJ8629004,9.10,CRAIOVA,"COLEGIUL NAȚIONAL ""FRAȚII BUZEȘTI"" CRAIOVA"
542,DJ8896073,9.10,CRAIOVA,"LICEUL TEORETIC ""TUDOR ARGHEZI"" CRAIOVA"
543,DJ8879425,9.10,CRAIOVA,"COLEGIUL NAȚIONAL ""FRAȚII BUZEȘTI"" CRAIOVA"
544,DJ9205178,9.10,FAR_TOWN,"ȘCOALA GIMNAZIALĂ NR. 3 DĂBULENI"
545,DJ9587389,9.10,CRAIOVA,"COLEGIUL NAȚIONAL PEDAGOGIC ""ȘTEFAN VELOVAN"" CRAIOVA"
546,DJ9662570,9.10,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""SF. DUMITRU"" CRAIOVA"
547,DJ12113667,9.10,CRAIOVA,"COLEGIUL NAȚIONAL ""CAROL I"" CRAIOVA"
548,DJ8250442,9.10,CRAIOVA,"COLEGIUL NAȚIONAL ""FRAȚII BUZEȘTI"" CRAIOVA"
549,DJ8832016,9.10,NEAR_CRAIOVA,"ȘCOALA GIMNAZIALĂ BUCOVĂȚ"
550,DJ281501,9.10,CRAIOVA,"COLEGIUL NAȚIONAL ""CAROL I"" CRAIOVA"
551,DJ9442090,9.10,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""TRAIAN"" CRAIOVA"
552,DJ9444455,9.10,FAR_RURAL,"ȘCOALA GIMNAZIALĂ BRATOVOEȘTI"
553,DJ3768951,9.07,CRAIOVA,"COLEGIUL NAȚIONAL ""CAROL I"" CRAIOVA"
554,DJ8801361,9.07,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""NICOLAE BĂLCESCU"" CRAIOVA"
555,DJ9200907,9.07,CRAIOVA,"COLEGIUL NAȚIONAL ""ELENA CUZA"" CRAIOVA"
556,DJ9424161,9.07,NEAR_CRAIOVA,"ȘCOALA GIMNAZIALĂ NEGOIEȘTI"
557,DJ9466442,9.07,FAR_RURAL,"ȘCOALA GIMNAZIALĂ BRALOȘTIȚA"
558,DJ268451,9.07,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""GHEORGHE ȚIȚEICA"" CRAIOVA"
559,DJ9446738,9.07,CRAIOVA,"LICEUL TEORETIC ""TUDOR ARGHEZI"" CRAIOVA"
560,DJ12083996,9.07,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""MIRCEA ELIADE"" CRAIOVA"
561,DJ8445276,9.07,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""MIHAI VITEAZUL"" CRAIOVA"
562,DJ12559278,9.07,CRAIOVA,"COLEGIUL NAȚIONAL ""CAROL I"" CRAIOVA"
563,DJ8630022,9.07,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""GHEORGHE ȚIȚEICA"" CRAIOVA"
564,DJ9458046,9.07,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""MIRCEA ELIADE"" CRAIOVA"
565,DJ12293411,9.07,CRAIOVA,"COLEGIUL NAȚIONAL ""ELENA CUZA"" CRAIOVA"
566,DJ12618378,9.07,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""ION CREANGĂ"" CRAIOVA"
567,DJ9186746,9.07,FAR_TOWN,"LICEUL TEORETIC ""CONSTANTIN BRÂNCOVEANU"" DĂBULENI"
568,DJ8029938,9.07,FAR_TOWN,"LICEUL TEORETIC ""INDEPENDENȚA"" CALAFAT"
569,DJ9061696,9.07,NEAR_CRAIOVA,"LICEUL TEHNOLOGIC ""CONSTANTIN IANCULESCU"" CÂRCEA"
570,DJ9388356,9.07,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""DECEBAL"" CRAIOVA"
571,DJ9439412,9.07,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""SF. GHEORGHE"" CRAIOVA"
572,DJ8671335,9.07,CRAIOVA,"COLEGIUL NAȚIONAL ""FRAȚII BUZEȘTI"" CRAIOVA"
573,DJ8719881,9.07,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""SF. DUMITRU"" CRAIOVA"
574,DJ8925929,9.07,CRAIOVA,"COLEGIUL NAȚIONAL ""FRAȚII BUZEȘTI"" CRAIOVA"
575,DJ9149078,9.07,FAR_TOWN,"ȘCOALA GIMNAZIALĂ NR. 3 BĂILEȘTI"
576,DJ8312513,9.07,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""MIRCEA ELIADE"" CRAIOVA"
577,DJ9341000,9.07,NEAR_CRAIOVA,"ȘCOALA GIMNAZIALĂ ""ELIZA OPRAN"" IȘALNIȚA"
578,DJ9496598,9.07,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""GHEORGHE ȚIȚEICA"" CRAIOVA"
579,DJ9729853,9.07,FAR_TOWN,"ȘCOALA GIMNAZIALĂ NR. 3 BĂILEȘTI"
580,DJ9315225,9.07,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""MIRCEA ELIADE"" CRAIOVA"
581,DJ9108355,9.07,FAR_RURAL,"ȘCOALA GIMNAZIALĂ OSTROVENI"
582,DJ9301077,9.07,FAR_TOWN,"LICEUL TEORETIC ""INDEPENDENȚA"" CALAFAT"
583,DJ12082115,9.05,CRAIOVA,"LICEUL TEOLOGIC ADVENTIST CRAIOVA"
584,DJ9732321,9.05,FAR_TOWN,"ȘCOALA GIMNAZIALĂ NR. 5 ""AV. P. IVANOVICI"" BĂILEȘTI"
585,DJ8013634,9.05,FAR_TOWN,"LICEUL TEORETIC ""INDEPENDENȚA"" CALAFAT"
586,DJ13699256,9.05,CRAIOVA,"COLEGIUL NAȚIONAL ""FRAȚII BUZEȘTI"" CRAIOVA"
587,DJ8738244,9.05,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""SF. DUMITRU"" CRAIOVA"
588,DJ8348678,9.05,CRAIOVA,"COLEGIUL NAȚIONAL ""ELENA CUZA"" CRAIOVA"
589,DJ12400399,9.05,CRAIOVA,"ȘCOALA ROMÂNO-BRITANICĂ CRAIOVA"
590,DJ12083677,9.05,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""NICOLAE BĂLCESCU"" CRAIOVA"
591,DJ8874407,9.05,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""ALEXANDRU MACEDONSKI"" CRAIOVA"
592,DJ8853267,9.05,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""ALEXANDRU MACEDONSKI"" CRAIOVA"
593,DJ12099851,9.05,NEAR_CRAIOVA,"ȘCOALA GIMNAZIALĂ ""ELIZA OPRAN"" IȘALNIȚA"
594,DJ9437235,9.05,CRAIOVA,"COLEGIUL NAȚIONAL ""FRAȚII BUZEȘTI"" CRAIOVA"
595,DJ9446307,9.05,CRAIOVA,"COLEGIUL NAȚIONAL ""FRAȚII BUZEȘTI"" CRAIOVA"
596,DJ8629528,9.05,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""NICOLAE ROMANESCU"" CRAIOVA"
597,DJ9678168,9.05,FAR_RURAL,"ȘCOALA GIMNAZIALĂ ""NICOLAE CARAȘ"" CIUPERCENII NOI"
598,DJ286451,9.05,CRAIOVA,"COLEGIUL NAȚIONAL PEDAGOGIC ""ȘTEFAN VELOVAN"" CRAIOVA"
599,DJ9446797,9.05,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""MIHAI VITEAZUL"" CRAIOVA"
600,DJ9451207,9.05,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""SF. DUMITRU"" CRAIOVA"
601,DJ8238245,9.05,FAR_TOWN,"LICEUL TEORETIC ""INDEPENDENȚA"" CALAFAT"
602,DJ12614897,9.05,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""MIHAI VITEAZUL"" CRAIOVA"
603,DJ12618539,9.05,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""MIRCEA ELIADE"" CRAIOVA"
604,DJ8629101,9.05,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""MIRCEA ELIADE"" CRAIOVA"
605,DJ9447474,9.05,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""SF. DUMITRU"" CRAIOVA"
606,DJ9569120,9.05,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""MIHAI VITEAZUL"" CRAIOVA"
607,DJ9072267,9.05,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""MIRCEA ELIADE"" CRAIOVA"
608,DJ8878640,9.05,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""ALEXANDRU MACEDONSKI"" CRAIOVA"
609,DJ7896887,9.05,CRAIOVA,"COLEGIUL NAȚIONAL ""FRAȚII BUZEȘTI"" CRAIOVA"
610,DJ9769017,9.05,FAR_TOWN,"ȘCOALA GIMNAZIALĂ FILIAȘI"
611,DJ9445155,9.05,CRAIOVA,"COLEGIUL NAȚIONAL PEDAGOGIC ""ȘTEFAN VELOVAN"" CRAIOVA"
612,DJ8879832,9.05,CRAIOVA,"COLEGIUL NAȚIONAL PEDAGOGIC ""ȘTEFAN VELOVAN"" CRAIOVA"
613,DJ11096762,9.05,CRAIOVA,"COLEGIUL NAȚIONAL ""CAROL I"" CRAIOVA"
614,DJ8630068,9.02,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""TRAIAN"" CRAIOVA"
615,DJ9209577,9.02,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""GHEORGHE ȚIȚEICA"" CRAIOVA"
616,DJ8839576,9.02,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""ALEXANDRU MACEDONSKI"" CRAIOVA"
617,DJ8590721,9.02,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""ALEXANDRU MACEDONSKI"" CRAIOVA"
618,DJ9441353,9.02,CRAIOVA,"COLEGIUL NAȚIONAL ""FRAȚII BUZEȘTI"" CRAIOVA"
619,DJ8889271,9.02,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""ALEXANDRU MACEDONSKI"" CRAIOVA"
620,DJ9341052,9.02,NEAR_CRAIOVA,"ȘCOALA GIMNAZIALĂ ""ELIZA OPRAN"" IȘALNIȚA"
621,DJ9445588,9.02,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""MIHAI VITEAZUL"" CRAIOVA"
622,DJ364951,9.02,CRAIOVA,"COLEGIUL NAȚIONAL ""CAROL I"" CRAIOVA"
623,DJ8839882,9.02,CRAIOVA,"COLEGIUL NAȚIONAL PEDAGOGIC ""ȘTEFAN VELOVAN"" CRAIOVA"
624,DJ9442304,9.02,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""TRAIAN"" CRAIOVA"
625,DJ8626590,9.02,FAR_RURAL,"ȘCOALA GIMNAZIALĂ SILIȘTEA CRUCII"
626,DJ9445859,9.02,CRAIOVA,"COLEGIUL NAȚIONAL ""CAROL I"" CRAIOVA"
627,DJ8950571,9.02,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""MIRCEA ELIADE"" CRAIOVA"
628,DJ9090786,9.02,CRAIOVA,"COLEGIUL NAȚIONAL PEDAGOGIC ""ȘTEFAN VELOVAN"" CRAIOVA"
629,DJ8251080,9.02,CRAIOVA,"COLEGIUL NAȚIONAL ""FRAȚII BUZEȘTI"" CRAIOVA"
630,DJ269751,9.02,CRAIOVA,"LICEUL TEORETIC ""TUDOR ARGHEZI"" CRAIOVA"
631,DJ12615959,9.02,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""SF. DUMITRU"" CRAIOVA"
632,DJ9237577,9.02,FAR_TOWN,"ȘCOALA GIMNAZIALĂ NR. 1 DĂBULENI"
633,DJ8250282,9.02,CRAIOVA,"COLEGIUL NAȚIONAL ""FRAȚII BUZEȘTI"" CRAIOVA"
634,DJ9257993,9.02,FAR_TOWN,"LICEUL TEHNOLOGIC SEGARCEA"
635,DJ9447500,9.02,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""TRAIAN"" CRAIOVA"
636,DJ9451966,9.02,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""TRAIAN"" CRAIOVA"
637,DJ9442368,9.02,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""TRAIAN"" CRAIOVA"
638,DJ9447016,9.02,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""TRAIAN"" CRAIOVA"
639,DJ8607224,9.00,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""TRAIAN"" CRAIOVA"
640,DJ9203164,9.00,FAR_TOWN,"ȘCOALA GIMNAZIALĂ NR. 3 DĂBULENI"
641,DJ9526996,9.00,FAR_RURAL,"ȘCOALA GIMNAZIALĂ BRALOȘTIȚA"
642,DJ8103609,9.00,CRAIOVA,"ȘCOALA GIMNAZIALĂ PARTICULARĂ ""ETHOS"" CRAIOVA"
643,DJ9446098,9.00,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""TRAIAN"" CRAIOVA"
644,DJ9585753,9.00,FAR_RURAL,"ȘCOALA GIMNAZIALĂ ""ÎNV. M. GEORGESCU"" CELARU"
645,DJ8955350,9.00,FAR_RURAL,"ȘCOALA GIMNAZIALĂ PISCU VECHI"
646,DJ8075943,9.00,FAR_TOWN,"LICEUL TEORETIC ""INDEPENDENȚA"" CALAFAT"
647,DJ8953973,9.00,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""ALEXANDRU MACEDONSKI"" CRAIOVA"
648,DJ8957003,9.00,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""GHEORGHE ȚIȚEICA"" CRAIOVA"
649,DJ9392868,9.00,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""TRAIAN"" CRAIOVA"
650,DJ12086908,9.00,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""ALEXANDRU MACEDONSKI"" CRAIOVA"
651,DJ8890008,9.00,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""GHEORGHE ȚIȚEICA"" CRAIOVA"
652,DJ8935800,9.00,CRAIOVA,"ȘCOALA GIMNAZIALĂ PARTICULARĂ ""ETHOS"" CRAIOVA"
653,DJ9441635,9.00,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""GHEORGHE ȚIȚEICA"" CRAIOVA"
654,DJ9451969,9.00,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""MIRCEA ELIADE"" CRAIOVA"
655,DJ12112129,9.00,CRAIOVA,"LICEUL TEOLOGIC ADVENTIST CRAIOVA"
656,DJ9439378,9.00,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""NICOLAE BĂLCESCU"" CRAIOVA"
