position,code,media,bucket,school
265,DJ9348393,9.37,NEAR_CRAIOVA,"ȘCOALA GIMNAZIALĂ BREASTA"
266,DJ11159986,9.37,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""NICOLAE ROMANESCU"" CRAIOVA"
267,DJ8441411,9.37,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""MIHAI VITEAZUL"" CRAIOVA"
268,DJ9442724,9.37,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""GHEORGHE ȚIȚEICA"" CRAIOVA"
269,DJ9447113,9.37,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""ALEXANDRU MACEDONSKI"" CRAIOVA"
270,DJ12619013,9.37,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""MIRCEA ELIADE"" CRAIOVA"
271,DJ7999588,9.37,CRAIOVA,"LICEUL TEORETIC ""TUDOR ARGHEZI"" CRAIOVA"
272,DJ8857969,9.37,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""ALEXANDRU MACEDONSKI"" CRAIOVA"
273,DJ9423187,9.37,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""GHEORGHE ȚIȚEICA"" CRAIOVA"
274,DJ9673984,9.37,CRAIOVA,"COLEGIUL NAȚIONAL ""CAROL I"" CRAIOVA"
275,DJ9260824,9.37,CRAIOVA,"COLEGIUL NAȚIONAL ""FRAȚII BUZEȘTI"" CRAIOVA"
276,DJ9436751,9.37,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""TRAIAN"" CRAIOVA"
277,DJ11094290,9.37,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""MIRCEA ELIADE"" CRAIOVA"
278,DJ12241983,9.37,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""MIRCEA ELIADE"" CRAIOVA"
279,DJ12242948,9.37,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""NICOLAE BĂLCESCU"" CRAIOVA"
280,DJ12252792,9.37,FAR_RURAL,"ȘCOALA GIMNAZIALĂ NEGOI"
281,DJ8897422,9.37,CRAIOVA,"COLEGIUL NAȚIONAL PEDAGOGIC ""ȘTEFAN VELOVAN"" CRAIOVA"
282,DJ3518551,9.37,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""DECEBAL"" CRAIOVA"
283,DJ8629212,9.37,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""MIRCEA ELIADE"" CRAIOVA"
284,DJ9451288,9.37,CRAIOVA,"COLEGIUL NAȚIONAL ""FRAȚII BUZEȘTI"" CRAIOVA"
285,DJ11168798,9.35,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""GHEORGHE ȚIȚEICA"" CRAIOVA"
286,DJ8788972,9.35,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""MIHAI VITEAZUL"" CRAIOVA"
287,DJ12083532,9.35,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""TRAIAN"" CRAIOVA"
288,DJ9423155,9.35,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""NICOLAE BĂLCESCU"" CRAIOVA"
289,DJ12161210,9.35,FAR_TOWN,"ȘCOALA GIMNAZIALĂ FILIAȘI"
290,DJ9432264,9.35,CRAIOVA,"COLEGIUL NAȚIONAL ""FRAȚII BUZEȘTI"" CRAIOVA"
291,DJ8134955,9.35,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""MIRCEA ELIADE"" CRAIOVA"
292,DJ10159977,9.35,CRAIOVA,"ȘCOALA ROMÂNO-BRITANICĂ CRAIOVA"
293,DJ8762853,9.35,CRAIOVA,"COLEGIUL NAȚIONAL ""FRAȚII BUZEȘTI"" CRAIOVA"
294,DJ9344703,9.35,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""TRAIAN"" CRAIOVA"
295,DJ8857793,9.35,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""SF. DUMITRU"" CRAIOVA"
296,DJ9388286,9.35,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""GHEORGHE ȚIȚEICA"" CRAIOVA"
297,DJ8906016,9.35,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""MIRCEA ELIADE"" CRAIOVA"
298,DJ9442926,9.35,CRAIOVA,"COLEGIUL NAȚIONAL ""FRAȚII BUZEȘTI"" CRAIOVA"
299,DJ9437436,9.35,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""GHEORGHE ȚIȚEICA"" CRAIOVA"
300,DJ12070207,9.35,CRAIOVA,"COLEGIUL NAȚIONAL ""ELENA CUZA"" CRAIOVA"
301,DJ12216862,9.35,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""SF. DUMITRU"" CRAIOVA"
302,DJ9206312,9.35,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""MIRCEA ELIADE"" CRAIOVA"
303,DJ9453832,9.35,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""MIRCEA ELIADE"" CRAIOVA"
304,DJ12242474,9.35,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""SF. GHEORGHE"" CRAIOVA"
305,DJ12245401,9.32,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""TRAIAN"" CRAIOVA"
306,DJ9449298,9.32,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""MIHAI VITEAZUL"" CRAIOVA"
307,DJ11171177,9.32,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""TRAIAN"" CRAIOVA"
308,DJ9478084,9.32,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""SF. DUMITRU"" CRAIOVA"
309,DJ9092284,9.32,CRAIOVA,"COLEGIUL NAȚIONAL ""NICOLAE TITULESCU"" CRAIOVA"
310,DJ9447537,9.32,CRAIOVA,"COLEGIUL NAȚIONAL ""CAROL I"" CRAIOVA"
311,DJ9189293,9.32,FAR_TOWN,"LICEUL TEORETIC ""CONSTANTIN BRÂNCOVEANU"" DĂBULENI"
